states,districts,delta_confirmed,delta_deceased,delta_recovered,delta_tested,delta_vaccinated1,delta_vaccinated2,delta_population,delta21_14_confirmed,delta21_14_deceased,delta21_14_recovered,delta21_14_tested,delta21_14_vaccinated1,delta21_14_vaccinated2,delta21_14_population,delta7_confirmed,delta7_deceased,delta7_recovered,delta7_tested,delta7_vaccinated1,delta7_vaccinated2,delta7_population,meta_confirmed,meta_deceased,meta_recovered,meta_tested,meta_vaccinated1,meta_vaccinated2,meta_population,total_confirmed,total_deceased,total_recovered,total_tested,total_vaccinated1,total_vaccinated2,total_population
PY,Karaikal,6.0,,9.0,,2.0,22.0,,69.0,,,,,,,53.0,,63.0,,763.0,2980.0,,,,,{'date': '2021-01-27'},,,200222.0,16488.0,250.0,16150.0,73142.0,111152.0,57491.0,
PY,Mahe,10.0,,10.0,,,,,44.0,,,,,,,58.0,,46.0,,109.0,1003.0,,,,,{'date': '2021-01-27'},,,41816.0,5867.0,47.0,5744.0,42415.0,34018.0,25943.0,
PY,Puducherry,22.0,,25.0,,159.0,477.0,,218.0,,,,,,,163.0,,202.0,,7191.0,15005.0,,,,,{'date': '2021-01-27'},,,950289.0,98885.0,1453.0,97171.0,425639.0,558708.0,305464.0,
PY,Yanam,,,1.0,,8.0,31.0,,12.0,,,,,,,4.0,,4.0,,259.0,1082.0,,,,,{'date': '2021-01-27'},,,55626.0,6773.0,107.0,6661.0,26727.0,30079.0,15489.0,
RJ,Ajmer,,,,,110.0,1101.0,,5.0,,,,,,,6.0,,8.0,,9133.0,56199.0,,,,,{'date': '2021-02-01'},,,2584913.0,37769.0,410.0,37352.0,261215.0,1752308.0,1042482.0,
RJ,Alwar,,,,,376.0,1002.0,,,,,,,,,,,,,21681.0,29417.0,,,,,{'date': '2021-02-01'},,,3671999.0,59694.0,307.0,59387.0,291879.0,2237787.0,1029095.0,
RJ,BSF Camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,85.0,,,,
RJ,Banswara,,,,,986.0,1105.0,,,,,,,,,,,,,10612.0,22206.0,,,,,{'date': '2021-02-01'},,,1798194.0,10005.0,104.0,9901.0,48781.0,1024293.0,525793.0,
RJ,Baran,,,,,44.0,212.0,,,,,,,,,1.0,,,,6599.0,15157.0,,,,,{'date': '2021-02-01'},,,1223921.0,11996.0,61.0,11934.0,46168.0,763006.0,297741.0,
RJ,Barmer,,,,,64.0,247.0,,,,,,,,,1.0,,,,5670.0,16673.0,,,,,{'date': '2021-02-01'},,,2604453.0,15563.0,185.0,15377.0,113868.0,1455732.0,621465.0,
RJ,Bharatpur,,,,,59.0,176.0,,,,,,,,,,,,,10069.0,22595.0,,,,,{'date': '2021-02-01'},,,2549121.0,19601.0,260.0,19341.0,201441.0,1351114.0,590401.0,
RJ,Bhilwara,,,,,161.0,1752.0,,,,,,,,,,,,,5405.0,26146.0,,,,,{'date': '2021-02-01'},,,2410459.0,29781.0,156.0,29625.0,148764.0,1525323.0,723691.0,
RJ,Bikaner,,,1.0,,76.0,275.0,,7.0,,,,,,,2.0,,1.0,,6565.0,17712.0,,,,,{'date': '2021-02-01'},,,2367745.0,40339.0,545.0,39792.0,278302.0,1461174.0,714590.0,
RJ,Bundi,,,,,424.0,1216.0,,,,,,,,,,,,,12488.0,24243.0,,,,,{'date': '2021-02-01'},,,1113725.0,7967.0,48.0,7919.0,58167.0,709316.0,362835.0,
RJ,Chittorgarh,,,,,21.0,43.0,,,,,,,,,,,,,6118.0,29167.0,,,,,{'date': '2021-02-01'},,,1544392.0,19809.0,139.0,19670.0,116002.0,978713.0,482350.0,
RJ,Churu,,,,,5.0,32.0,,,,,,,,,,,,,5483.0,26038.0,,,,,{'date': '2021-02-01'},,,2041172.0,16720.0,107.0,16613.0,131700.0,1301558.0,582443.0,
RJ,Dausa,,,,,182.0,1072.0,,,,,,,,,,,,,5627.0,29672.0,,,,,{'date': '2021-02-01'},,,1637226.0,13351.0,62.0,13289.0,61680.0,941513.0,395584.0,
RJ,Dholpur,,,1.0,,45.0,83.0,,1.0,,,,,,,,,2.0,,4270.0,11868.0,,,,,{'date': '2021-02-01'},,,1207293.0,11010.0,48.0,10962.0,121308.0,660103.0,279501.0,
RJ,Dungarpur,,,,,90.0,246.0,,,,,,,,,,,,,6673.0,19241.0,,,,,{'date': '2021-02-01'},,,1388906.0,18407.0,131.0,18276.0,121917.0,737200.0,349762.0,
RJ,Evacuees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,,61.0,,,,
RJ,Ganganagar,,,,,749.0,1957.0,,,,,,,,,1.0,,,,11153.0,29478.0,,,,,{'date': '2021-02-01'},,,1969520.0,19354.0,150.0,19203.0,80706.0,1278952.0,525137.0,
RJ,Hanumangarh,,,,,72.0,478.0,,,,,,,,,,,,,5057.0,30733.0,,,,,{'date': '2021-02-01'},,,1779650.0,16053.0,111.0,15942.0,82542.0,1230511.0,588688.0,
RJ,Italians,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,
RJ,Jaipur,2.0,,,,570.0,1871.0,,9.0,,,,,,,16.0,,9.0,,24518.0,63582.0,,,,,{'date': '2021-02-01'},,,6663971.0,187804.0,1970.0,185816.0,968783.0,4582410.0,2189042.0,
RJ,Jaisalmer,,,,,199.0,474.0,,,,,,,,,,,,,2951.0,9700.0,,,,,{'date': '2021-02-01'},,,672008.0,13639.0,66.0,13573.0,80082.0,416014.0,194163.0,
RJ,Jalore,,,,,309.0,738.0,,,,,,,,,,,,,9304.0,26896.0,,,,,{'date': '2021-02-01'},,,1830151.0,10067.0,72.0,9995.0,184172.0,987519.0,393953.0,
RJ,Jhalawar,,,,,359.0,2133.0,,1.0,,,,,,,,,,,2527.0,16443.0,,,,,{'date': '2021-02-01'},,,1411327.0,13612.0,187.0,13425.0,97163.0,922646.0,363082.0,
RJ,Jhunjhunu,,,,,267.0,1682.0,,,,,,,,,,,,,7946.0,42099.0,,,,,{'date': '2021-02-01'},,,2139658.0,14811.0,158.0,14653.0,123433.0,1449967.0,787196.0,
RJ,Jodhpur,,,,,26.0,93.0,,2.0,,,,,,,,,3.0,,7707.0,22507.0,,,,,{'date': '2021-02-01'},,,3685681.0,112412.0,1103.0,111308.0,600959.0,2263325.0,1036743.0,
RJ,Karauli,,,,,1578.0,993.0,,,,,,,,,,,,,19063.0,20813.0,,,,,{'date': '2021-02-01'},,,1458459.0,7156.0,70.0,7086.0,64481.0,813922.0,395700.0,
RJ,Kota,,,,,170.0,2306.0,,,,,,,,,,,,,2612.0,26626.0,,,,,{'date': '2021-02-01'},,,1950491.0,57053.0,449.0,56603.0,355509.0,1269245.0,655588.0,
RJ,Nagaur,,,,,636.0,3335.0,,,,,,,,,,,,,6806.0,36157.0,,,,,{'date': '2021-02-01'},,,3309234.0,17737.0,177.0,17560.0,229822.0,2077555.0,1016874.0,
RJ,Other State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.0,39.0,150.0,,,,
RJ,Pali,,,,,704.0,3089.0,,1.0,,,,,,,,,1.0,,7082.0,26853.0,,,,,{'date': '2021-02-01'},,,2038533.0,27324.0,287.0,27037.0,179463.0,1200554.0,513058.0,
RJ,Pratapgarh,,,,,39.0,298.0,,,,,,,,,,,,,1130.0,25717.0,,,,,{'date': '2021-02-01'},,,868231.0,7143.0,63.0,7080.0,52208.0,655140.0,345189.0,
RJ,Rajsamand,,,,,345.0,988.0,,,,,,,,,,,,,4092.0,14945.0,,,,,{'date': '2021-02-01'},,,1158283.0,17044.0,169.0,16875.0,91975.0,691497.0,299553.0,
RJ,Sawai Madhopur,,,,,268.0,844.0,,2.0,,,,,,,,,2.0,,8475.0,18843.0,,,,,{'date': '2021-02-01'},,,1338114.0,10618.0,61.0,10557.0,84683.0,756544.0,347992.0,
RJ,Sikar,,,,,39.0,130.0,,,,,,,,,,,,,4520.0,20308.0,,,,,{'date': '2021-02-01'},,,2677737.0,30618.0,335.0,30283.0,165042.0,1838263.0,821713.0,
RJ,Sirohi,,,,,480.0,589.0,,,,,,,,,,,,,9007.0,15482.0,,,,,{'date': '2021-02-01'},,,1037185.0,13732.0,79.0,13653.0,84616.0,610090.0,348789.0,
RJ,Tonk,,,,,48.0,268.0,,,,,,,,,,,,,2623.0,16223.0,,,,,{'date': '2021-02-01'},,,1421711.0,9498.0,92.0,9406.0,74225.0,884688.0,419023.0,
RJ,Udaipur,,,,,1169.0,2727.0,,3.0,,,,,,,,,,,16803.0,51655.0,,,,,{'date': '2021-02-01'},,,3067549.0,56405.0,753.0,55652.0,251522.0,1715072.0,854773.0,
SK,East Sikkim,,,,,,,,,,,,,,,,,,,528.0,10519.0,,,,,,,,281293.0,,,,,263526.0,229361.0,
SK,North Sikkim,,,,,,,,,,,,,,,,,,,23.0,447.0,,,,,,,,43354.0,,,,,33137.0,27820.0,
SK,South Sikkim,,,,,,,,,,,,,,,,,,,164.0,2223.0,,,,,,,,146742.0,,,,,121481.0,105432.0,
SK,Unknown,21.0,1.0,8.0,,,,,82.0,,,,,,,79.0,2.0,76.0,,,,,,,,,,,,31979.0,396.0,31063.0,,,,
SK,West Sikkim,,,,,,,,,,,,,,,,,,,67.0,855.0,,,,,,,,136299.0,,,,,103619.0,88896.0,
TG,Adilabad,,,,,165.0,138.0,,,,,,,,,,,,,11894.0,12694.0,,,,,,,,708952.0,,,,,376263.0,89337.0,
TG,Bhadradri Kothagudem,,,,,1570.0,1314.0,,,,,,,,,,,,,30988.0,31905.0,,,,,,,,1304811.0,,,,,599183.0,204318.0,
TG,Hyderabad,,,,,3334.0,5427.0,,,,,,,,,,,,,48855.0,123025.0,,,,,,,,3441992.0,,,,,3150245.0,1893217.0,
TG,Jagtial,,,,,,,,,,,,,,,,,,,50253.0,17153.0,,,,,,,,983414.0,,,,,580926.0,190526.0,
TG,Jangaon,,,,,2637.0,363.0,,,,,,,,,,,,,20821.0,11508.0,,,,,,,,582457.0,,,,,327527.0,128207.0,
TG,Jayashankar Bhupalapally,,,,,125.0,262.0,,,,,,,,,,,,,4191.0,23712.0,,,,,,,,712257.0,,,,,262313.0,127108.0,
TG,Jogulamba Gadwal,,,,,496.0,253.0,,,,,,,,,,,,,23908.0,6281.0,,,,,,,,664971.0,,,,,306919.0,59886.0,
TG,Kamareddy,,,,,320.0,78.0,,,,,,,,,,,,,14692.0,16918.0,,,,,,,,972625.0,,,,,557684.0,183176.0,
TG,Karimnagar,,,,,65.0,486.0,,,,,,,,,,,,,12731.0,45384.0,,,,,,,,1016063.0,,,,,657167.0,384862.0,
TG,Khammam,,,,,789.0,1134.0,,,,,,,,,,,,,41893.0,68994.0,,,,,,,,1401639.0,,,,,856707.0,333812.0,
TG,Komaram Bheem,,,,,569.0,136.0,,,,,,,,,,,,,17465.0,4048.0,,,,,,,,515835.0,,,,,275644.0,51593.0,
TG,Mahabubabad,,,,,3715.0,1107.0,,,,,,,,,,,,,36700.0,27419.0,,,,,,,,1318110.0,,,,,468199.0,172007.0,
TG,Mahabubnagar,,,,,609.0,184.0,,,,,,,,,,,,,32811.0,19635.0,,,,,,,,,,,,,482547.0,150640.0,
TG,Mancherial,,,,,65.0,27.0,,,,,,,,,,,,,22489.0,15600.0,,,,,,,,807037.0,,,,,480069.0,170258.0,
TG,Medak,,,,,704.0,589.0,,,,,,,,,,,,,34422.0,25162.0,,,,,,,,767428.0,,,,,458648.0,140778.0,
TG,Medchal Malkajgiri,,,,,5804.0,8370.0,,,,,,,,,,,,,54568.0,93893.0,,,,,,,,2542203.0,,,,,2149958.0,1317832.0,
TG,Mulugu,,,,,71.0,85.0,,,,,,,,,,,,,4190.0,10660.0,,,,,,,,294671.0,,,,,186104.0,76648.0,
TG,Nagarkurnool,,,,,730.0,18.0,,,,,,,,,,,,,30265.0,5469.0,,,,,,,,893308.0,,,,,464888.0,106589.0,
TG,Nalgonda,,,,,859.0,448.0,,,,,,,,,,,,,105864.0,33747.0,,,,,,,,1631399.0,,,,,891308.0,254218.0,
TG,Narayanpet,,,,,585.0,48.0,,,,,,,,,,,,,14266.0,3428.0,,,,,,,,566874.0,,,,,288388.0,50219.0,
TG,Nirmal,,,,,744.0,255.0,,,,,,,,,,,,,16044.0,8396.0,,,,,,,,709415.0,,,,,378315.0,130107.0,
TG,Nizamabad,,,,,276.0,42.0,,,,,,,,,,,,,67852.0,21328.0,,,,,,,,1534428.0,,,,,858574.0,250862.0,
TG,Peddapalli,,,,,79.0,40.0,,,,,,,,,,,,,18954.0,19908.0,,,,,,,,795332.0,,,,,463510.0,201940.0,
TG,Rajanna Sircilla,,,,,10.0,100.0,,,,,,,,,,,,,7398.0,17056.0,,,,,,,,546121.0,,,,,372065.0,144680.0,
TG,Ranga Reddy,,,,,217.0,1168.0,,,,,,,,,,,,,76853.0,93482.0,,,,,,,,2551731.0,,,,,2348542.0,1291404.0,
TG,Sangareddy,,,,,7628.0,3083.0,,,,,,,,,,,,,77693.0,32539.0,,,,,,,,1527628.0,,,,,851395.0,299316.0,
TG,Siddipet,,,,,197.0,187.0,,,,,,,,,,,,,35164.0,25015.0,,,,,,,,993376.0,,,,,582450.0,242462.0,
TG,Suryapet,,,,,20.0,1.0,,,,,,,,,,,,,38975.0,24793.0,,,,,,,,1099560.0,,,,,610724.0,208278.0,
TG,Unknown,121.0,1.0,183.0,,,,,1068.0,,,,,,,1189.0,9.0,1121.0,,,,,,,,,,,,671463.0,3956.0,663498.0,,,,
TG,Vikarabad,,,,,111.0,12.0,,,,,,,,,,,,,20014.0,5848.0,,,,,,,,881250.0,,,,,427669.0,87989.0,
TG,Wanaparthy,,,,,243.0,119.0,,,,,,,,,,,,,13905.0,10313.0,,,,,,,,751553.0,,,,,289412.0,81870.0,
TG,Warangal Rural,,,,,2416.0,1350.0,,,,,,,,,,,,,25045.0,13208.0,,,,,,,,716457.0,,,,,342881.0,105289.0,
TG,Warangal Urban,,,,,42.0,101.0,,,,,,,,,,,,,21854.0,63907.0,,,,,,,,1135707.0,,,,,687410.0,418947.0,
TG,Yadadri Bhuvanagiri,,,,,4429.0,739.0,,,,,,,,,,,,,38752.0,28567.0,,,,,,,,726465.0,,,,,463854.0,223506.0,
TN,Airport Quarantine,,,,,,,,3.0,,,,,,,1.0,,1.0,,,,,,,,,,,,2113.0,2.0,2107.0,,,,
TN,Ariyalur,5.0,,3.0,,1127.0,3941.0,,51.0,,,,,,,35.0,1.0,44.0,,19203.0,29689.0,,,,,{'date': '2020-07-23'},,,752481.0,16854.0,261.0,16548.0,18285.0,475390.0,157166.0,
TN,Chengalpattu,83.0,2.0,93.0,,3145.0,3415.0,,658.0,,,,,,,627.0,5.0,706.0,,26704.0,39438.0,,,,,{'date': '2020-07-23'},,,2556244.0,171777.0,2506.0,168327.0,51771.0,1337641.0,604784.0,
TN,Chennai,118.0,4.0,143.0,,4126.0,8535.0,,1162.0,,,,,,,880.0,12.0,1093.0,,52515.0,124932.0,,,,,{'date': '2021-02-01'},,,7100000.0,554672.0,8546.0,544701.0,2667777.0,4532809.0,2671294.0,
TN,Coimbatore,120.0,1.0,126.0,,770.0,2853.0,,965.0,,,,,,,869.0,15.0,988.0,,20971.0,79387.0,,,,,{'date': '2020-07-23'},,,3472578.0,246780.0,2416.0,243070.0,102107.0,2717202.0,1205484.0,
TN,Cuddalore,16.0,,18.0,,9299.0,22186.0,,141.0,,,,,,,129.0,,132.0,,51773.0,101735.0,,,,,{'date': '2020-07-23'},,,2600880.0,64085.0,867.0,62997.0,36434.0,1529591.0,646400.0,
TN,Dharmapuri,16.0,,21.0,,811.0,1674.0,,177.0,,,,,,,110.0,1.0,161.0,,13388.0,27153.0,,,,,{'date': '2020-12-22'},,,1502900.0,28425.0,274.0,27957.0,163803.0,770955.0,279901.0,
TN,Dindigul,9.0,,7.0,,321.0,1040.0,,64.0,,,,,,,58.0,1.0,51.0,,19630.0,57260.0,,,,,{'date': '2020-07-23'},,,2161367.0,33099.0,645.0,32348.0,27800.0,1236504.0,493453.0,
TN,Erode,68.0,2.0,94.0,,244.0,899.0,,549.0,,,,,,,477.0,4.0,573.0,,16741.0,46724.0,,,,,{'date': '2020-07-23'},,,2259608.0,104303.0,686.0,102836.0,66240.0,1370925.0,552624.0,
TN,Kallakurichi,14.0,,23.0,,4089.0,7322.0,,112.0,,,,,,,66.0,,118.0,,22603.0,52087.0,,,,,{'date': '2020-07-23'},,,1370281.0,31364.0,210.0,31056.0,28314.0,696213.0,299822.0,
TN,Kancheepuram,30.0,,37.0,,679.0,1040.0,,237.0,,,,,,,225.0,2.0,259.0,,13961.0,24360.0,,,,,{'date': '2020-07-23'},,,1166401.0,74970.0,1258.0,73386.0,37505.0,663206.0,250181.0,
TN,Kanyakumari,17.0,,12.0,,431.0,1276.0,,132.0,,,,,,,120.0,,102.0,,17732.0,51185.0,,,,,{'date': '2020-07-23'},,,1863178.0,62362.0,1048.0,61112.0,79600.0,1100888.0,450620.0,
TN,Karur,20.0,,16.0,,74.0,834.0,,80.0,,,,,,,136.0,1.0,90.0,,5882.0,32339.0,,,,,{'date': '2020-07-23'},,,1076588.0,24091.0,356.0,23523.0,17190.0,626136.0,289120.0,
TN,Krishnagiri,16.0,,19.0,,404.0,1731.0,,141.0,,,,,,,134.0,1.0,160.0,,15883.0,37027.0,,,,,{'date': '2020-07-23'},,,1883731.0,43570.0,348.0,43036.0,14284.0,1040491.0,407695.0,
TN,Madurai,13.0,,17.0,,1060.0,2012.0,,132.0,,,,,,,99.0,3.0,122.0,,26340.0,42498.0,,,,,{'date': '2020-07-23'},,,3991038.0,75215.0,1172.0,73853.0,97279.0,1500331.0,583138.0,
TN,Mayiladuthurai,3.0,,10.0,,,,,82.0,,,,,,,41.0,,80.0,,,,,,,,,,,901000.0,23280.0,316.0,22878.0,,,,
TN,Nagapattinam,16.0,1.0,20.0,,273.0,953.0,,145.0,,,,,,,97.0,10.0,121.0,,8662.0,23176.0,,,,,{'date': '2020-07-23'},,,1614069.0,21074.0,346.0,20561.0,20984.0,813495.0,289588.0,
TN,Namakkal,43.0,,51.0,,168.0,442.0,,376.0,,,,,,,315.0,2.0,397.0,,12694.0,28265.0,,,,,{'date': '2020-07-23'},,,1721179.0,52245.0,498.0,51253.0,24758.0,987830.0,397079.0,
TN,Nilgiris,20.0,2.0,25.0,,71.0,1092.0,,197.0,,,,,,,124.0,3.0,220.0,,1613.0,31952.0,,,,,{'date': '2020-07-23'},,,735071.0,33566.0,212.0,33164.0,45839.0,501986.0,343811.0,
TN,Perambalur,2.0,,5.0,,383.0,2161.0,,24.0,,,,,,,26.0,,27.0,,4307.0,17440.0,,,,,{'date': '2020-07-23'},,,564511.0,12067.0,243.0,11790.0,7981.0,326872.0,136491.0,
TN,Pudukkottai,12.0,,8.0,,554.0,2862.0,,95.0,,,,,,,75.0,2.0,68.0,,10691.0,34202.0,,,,,{'date': '2020-07-23'},,,1918725.0,30183.0,416.0,29627.0,20835.0,827320.0,314780.0,
TN,Railway Quarantine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428.0,,428.0,,,,
TN,Ramanathapuram,3.0,,6.0,,852.0,2329.0,,59.0,,,,,,,25.0,,55.0,,9961.0,32447.0,,,,,{'date': '2020-07-23'},,,1337560.0,20564.0,357.0,20158.0,23389.0,660673.0,280037.0,
TN,Ranipet,14.0,,14.0,,506.0,485.0,,85.0,,,,,,,69.0,2.0,73.0,,10793.0,13744.0,,,,,{'date': '2020-07-23'},,,1210277.0,43436.0,775.0,42557.0,20118.0,557267.0,174051.0,
TN,Salem,62.0,1.0,67.0,,396.0,2125.0,,395.0,,,,,,,427.0,3.0,442.0,,25814.0,66134.0,,,,,{'date': '2020-07-23'},,,3480008.0,99893.0,1685.0,97619.0,79660.0,1925084.0,791376.0,
TN,Sivaganga,13.0,,9.0,,195.0,564.0,,75.0,,,,,,,82.0,,78.0,,10170.0,31816.0,,,,,{'date': '2020-07-23'},,,1341250.0,20195.0,206.0,19854.0,25824.0,726010.0,287468.0,
TN,Tenkasi,4.0,,4.0,,291.0,446.0,,13.0,,,,,,,25.0,,14.0,,16935.0,21454.0,,,,,{'date': '2020-07-23'},,,1407627.0,27357.0,484.0,26834.0,26338.0,736882.0,233177.0,
TN,Thanjavur,37.0,,59.0,,12155.0,2378.0,,426.0,,,,,,,310.0,6.0,428.0,,49025.0,31228.0,,,,,{'date': '2020-07-23'},,,2402781.0,75352.0,972.0,73874.0,67445.0,1224986.0,486660.0,
TN,Theni,1.0,1.0,5.0,,379.0,1536.0,,30.0,,,,,,,15.0,1.0,23.0,,11199.0,33309.0,,,,,{'date': '2020-07-23'},,,1243684.0,43571.0,521.0,43018.0,45839.0,660187.0,304832.0,
TN,Thiruvallur,28.0,,55.0,,2328.0,4382.0,,421.0,,,,,,,252.0,3.0,396.0,,25332.0,47695.0,,,,,{'date': '2020-07-23'},,,3725697.0,119370.0,1842.0,117138.0,67948.0,1425728.0,563426.0,
TN,Thiruvarur,23.0,2.0,22.0,,291.0,624.0,,242.0,,,,,,,170.0,5.0,253.0,,13453.0,29614.0,,,,,{'date': '2020-07-23'},,,1268094.0,41461.0,442.0,40760.0,67445.0,630274.0,246969.0,
TN,Thoothukkudi,11.0,1.0,9.0,,11497.0,1612.0,,105.0,,,,,,,85.0,1.0,90.0,,46323.0,22453.0,,,,,{'date': '2020-07-23'},,,1738376.0,56304.0,409.0,55757.0,49288.0,984706.0,328797.0,
TN,Tiruchirappalli,37.0,,49.0,,2445.0,892.0,,331.0,,,,,,,302.0,5.0,334.0,,32150.0,48874.0,,,,,{'date': '2020-08-07'},,,2713858.0,77534.0,1059.0,76038.0,92586.0,1468456.0,636356.0,
TN,Tirunelveli,11.0,1.0,13.0,,940.0,627.0,,115.0,,,,,,,93.0,1.0,125.0,,22582.0,19904.0,,,,,{'date': '2020-07-23'},,,1665253.0,49374.0,432.0,48812.0,54208.0,815687.0,275985.0,
TN,Tirupathur,10.0,,8.0,,311.0,525.0,,61.0,,,,,,,50.0,,66.0,,11111.0,24743.0,,,,,{'date': '2020-07-23'},,,1111812.0,29301.0,625.0,28600.0,23998.0,541496.0,205219.0,
TN,Tiruppur,69.0,1.0,53.0,,133.0,443.0,,556.0,,,,,,,504.0,5.0,537.0,,20414.0,50762.0,,,,,{'date': '2020-07-23'},,,2471222.0,95405.0,979.0,93683.0,36301.0,1671392.0,611015.0,
TN,Tiruvannamalai,18.0,,28.0,,4455.0,10228.0,,142.0,,,,,,,120.0,,158.0,,31415.0,73235.0,,,,,{'date': '2020-07-23'},,,2468965.0,54968.0,667.0,54122.0,76170.0,1270049.0,533376.0,
TN,Vellore,12.0,,15.0,,953.0,1825.0,,119.0,,,,,,,117.0,1.0,139.0,,18978.0,31716.0,,,,,{'date': '2020-07-23'},,,1614242.0,49864.0,1131.0,48564.0,47936.0,763735.0,336366.0,
TN,Viluppuram,10.0,,11.0,,12953.0,11812.0,,84.0,,,,,,,79.0,1.0,83.0,,53748.0,67153.0,,,,,{'date': '2020-07-23'},,,2093003.0,45857.0,356.0,45382.0,52064.0,1085842.0,444502.0,
TN,Virudhunagar,5.0,,8.0,,1007.0,3437.0,,45.0,,,,,,,38.0,,45.0,,16628.0,50467.0,,,,,{'date': '2020-07-23'},,,1943309.0,46294.0,548.0,45687.0,28620.0,1072788.0,505098.0,
TR,Dhalai,,,,,5.0,531.0,,,,,,,,,1.0,,2.0,,264.0,11234.0,,,,,{'date': '2021-02-02'},,,377988.0,7037.0,35.0,7000.0,61582.0,258334.0,164654.0,
TR,Gomati,,,,,,1.0,,3.0,,,,,,,8.0,,3.0,,319.0,9611.0,,,,,{'date': '2021-02-02'},,,436868.0,8134.0,74.0,8043.0,47437.0,279099.0,161408.0,
TR,Khowai,2.0,,,,,,,1.0,,,,,,,3.0,,,,373.0,5866.0,,,,,{'date': '2021-02-02'},,,327391.0,4559.0,54.0,4500.0,24046.0,202148.0,111955.0,
TR,North Tripura,2.0,,,,,,,8.0,,,,,,,4.0,,8.0,,352.0,4099.0,,,,,{'date': '2021-02-02'},,,415946.0,7250.0,34.0,7199.0,100931.0,283802.0,190594.0,
TR,Sipahijala,,,,,,9.0,,2.0,,,,,,,8.0,,4.0,,451.0,10397.0,,,,,{'date': '2021-02-02'},,,484233.0,6360.0,75.0,6273.0,53067.0,330932.0,211903.0,
TR,South Tripura,1.0,,,,,1.0,,1.0,,,,,,,4.0,,1.0,,267.0,5639.0,,,,,{'date': '2021-02-02'},,,433737.0,10168.0,53.0,10104.0,83030.0,303987.0,209259.0,
TR,Unokoti,1.0,,,,,5.0,,1.0,,,,,,,4.0,,3.0,,762.0,10307.0,,,,,{'date': '2021-02-02'},,,277335.0,8609.0,68.0,8530.0,34930.0,173390.0,101178.0,
TR,West Tripura,6.0,,2.0,,5.0,13.0,,33.0,,,,,,,55.0,,41.0,,1366.0,17141.0,,,,,{'date': '2021-02-02'},,,917534.0,32351.0,420.0,31817.0,202939.0,676784.0,470030.0,
UP,Agra,,,,,178.0,265.0,,3.0,,,,,,,,,2.0,,23657.0,42953.0,,,,,{'date': '2021-01-31'},,,4380793.0,25765.0,457.0,25308.0,491361.0,2172907.0,746386.0,
UP,Aligarh,,,,,9.0,25.0,,2.0,,,,,,,,,,,34650.0,57576.0,,,,,{'date': '2021-01-31'},,,3673849.0,21280.0,108.0,21172.0,482825.0,1589498.0,498586.0,
UP,Ambedkar Nagar,,,,,138.0,145.0,,,,,,,,,1.0,,,,21528.0,32042.0,,,,,{'date': '2021-01-31'},,,2398709.0,5040.0,152.0,4885.0,123151.0,1135268.0,349925.0,
UP,Amethi,,,,,165.0,11.0,,7.0,,,,,,,,,2.0,,19777.0,37617.0,,,,,{'date': '2021-01-31'},,,2549935.0,9972.0,143.0,9828.0,267014.0,1015454.0,375261.0,
UP,Amroha,,,,,6.0,8.0,,,,,,,,,,,,,16080.0,23048.0,,,,,{'date': '2021-01-13'},,,1838771.0,16616.0,203.0,16412.0,254038.0,871164.0,265607.0,
UP,Auraiya,,,,,,,,1.0,,,,,,,,,,,6878.0,16443.0,,,,,{'date': '2021-01-10'},,,1372287.0,10090.0,203.0,9887.0,107079.0,614711.0,180775.0,
UP,Ayodhya,,,,,217.0,452.0,,,,,,,,,,,1.0,,26036.0,37279.0,,,,,{'date': '2021-01-31'},,,2468371.0,16919.0,290.0,16629.0,376735.0,1270889.0,418182.0,
UP,Azamgarh,,,,,1764.0,3111.0,,,,,,,,,2.0,,,,41754.0,63205.0,,,,,{'date': '2020-12-27'},,,4616509.0,17906.0,228.0,17675.0,12474.0,2165409.0,643824.0,
UP,Baghpat,,,,,10.0,52.0,,,,,,,,,,,,,7829.0,24151.0,,,,,{'date': '2021-01-31'},,,1302156.0,9132.0,141.0,8991.0,327192.0,692255.0,337171.0,
UP,Bahraich,,,,,648.0,1565.0,,,,,,,,,,,,,54069.0,106010.0,,,,,{'date': '2021-01-31'},,,2384239.0,11549.0,178.0,11371.0,308225.0,1752196.0,642554.0,
UP,Ballia,,,,,86.0,170.0,,,,,,,,,,,,,29248.0,48334.0,,,,,{'date': '2021-01-31'},,,3223642.0,21610.0,234.0,21376.0,267420.0,1433455.0,388341.0,
UP,Balrampur,1.0,,,,747.0,630.0,,1.0,,,,,,,2.0,,,,21033.0,56322.0,,,,,{'date': '2021-01-31'},,,2149066.0,7494.0,138.0,7354.0,276237.0,995084.0,438892.0,
UP,Banda,,,,,486.0,432.0,,,,,,,,,1.0,,,,38560.0,36938.0,,,,,{'date': '2021-01-10'},,,1799541.0,10992.0,158.0,10832.0,303185.0,795903.0,236840.0,
UP,Barabanki,,,,,11.0,44.0,,,,,,,,,1.0,,,,51121.0,59870.0,,,,,{'date': '2021-01-30'},,,3257983.0,19850.0,225.0,19624.0,147422.0,1589704.0,448292.0,
